Country Name	Country Code	Indicator Name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Belgium	BEL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	38.7	39.7	40.6	41.2	41	41.2	41.4	42	42.4	43.4	43.4	43.4	43.9	44.4	44.7	45.3	45.7	46	46.6	47	47.2	47.5	47.6		
Benin	BEN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			20.7										24.3								25.9				
Burkina Faso	BFA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	22.5					22.1		23.1		22.6	23.2	23.3	23.2	23.6	24.8	25.4	26.5	26.5							
Bangladesh	BGD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		20.2					26.7				24.7			21.6		20.1					18.3				
Bulgaria	BGR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				52.1	52.2	52.4	52.5	52.4	52.7	52.4	52.8	53.1	53.1	53.1	52.7	52.2	51.4	49.1	48.7	48.9	49.2	49.3	49.8		
Bahrain	BHR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	12.3	12.7	14	15.5	16.6			17.1		19.8	20	21.3	20.5	20.5	20.4	20.1	19.8	19.5	19.5	19.5	20.5	20.9			
Bahamas, The	BHS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		49.6	48.8	48.6	48.9	49.4	47.6	48.1	49.4	48.4		49.8	49.7	50.1	50.4	50	49.7	48.8	49.2	50.2	52.4				
Bosnia and Herzegovina	BIH	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																	38.7	38.2	39.3	40.5	41	41.3	41.4		
Belarus	BLR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	51.9	51.8	51.9	50.6	51.5	52.2	51.2	51.3	51.4	52.1	52.4	52.8	53	53.1	53	52.9	52.8	52.8	52.8		52.1	51.1	52.2		
Belize	BLZ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				33.9	32.7	33	33.3	33.2	34.4	34.1		35	34			36.5	35.9	37.7							
Bermuda	BMU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	48.7	49.1	49.6	49.8	50.3	50.4	50.4	50.5	50.3	49.9	49.8	49.3	49.4	48.9	48.7	48.6	48.5	48.7				50.3	55.4		
Bolivia	BOL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	35.2	34.8	34.2	36.8	35.3	35.9	36.9	36.1		34.5	38.6	38.1	38.2		36.1	37.7	42.4	38.1		36.5					
Brazil	BRA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	40.2		42.8	43		44.1	44.3	44.3					46.1	46.6	46.8	46.7	47	46.8		47.2		47.1	47.2		
Barbados	BRB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	46.8	46.4	48.9	48.1	48	49.3	47.9	48.8	48	49	49.9	50.1	50	51.1	51.3	52	51.2	50.4	50.7						
Brunei Darussalam	BRN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		22.5			19.5	17.2	19	19.9	23.8	26.7	30.3	28.9	29	30.3											
Bhutan	BTN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											23.9									26.8		27.7	26.3		
Botswana	BWA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	33.5	33.4	36.6			38.4	38.6	39.1	38.8	40.5	42.9	41.1	42.4	40.8	39.5	42.6	43.6	43.4		41.6	41.4				
Central African Republic	CAF	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)														46.8											
Canada	CAN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	46.9	47.8	48	48.1	47.8	48	48	48.1	48.3	48.2	48.3	48.8	48.8	49.2	49.4	49.4	49.5	49.8	49.9	50.5	50.3	49.8	49.9		
Central Europe and the Baltics	CEB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						46.83939673	46.97447418	46.78593464	47.07113958	47.45776	47.61952068	47.70622935	47.82362173	47.98385324	48.02462358	47.66592279	47.60020676	47.25154881	47.242506	47.48212392	47.74549561	47.54142171	47.42826361		
Switzerland	CHE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43.4	43.7	43.6	43.3	43.7	44.2	44.9	45.3	45.7	45.9	45.7	46.1	46.8	46.7	46.9	46.9	46.8	46.6	47.4	47.3	47.1	46.9	47		
Channel Islands	CHI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Chile	CHL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.3	36.6	37.4	37.5	37.6	37.3	36.8	37.2	31.7	32.7	32.8	32.9	33.2	33.5	34.2	34.4	34.9	35.5	36.2	36.9	37.8	37.8	38.5		
China	CHN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.8	37.9	35.8	37.3	38.1	38.7	38.7	38.8	37.9	39.1															
Cote d'Ivoire	CIV	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)									20.6																
Cameroon	CMR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							19.2					22.2									26.4				
Congo, Rep.	COG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	26.1																								
Colombia	COL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.8	43.6	44.4	44.6	43.6	44.9	44.7	46.1	45.8	47.8	48.8	49.1	50.1	48.8	48.3	47.4	46.6	47.5	47.5	46.3	46.4	45.9	45.6		
Comoros	COM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							18																		
Cabo Verde	CPV	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											38.9														
Costa Rica	CRI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.2	37.4	37.8	36.3	36.5	36.7	37.2	37.5	38.8	39.5	39.3	40.1	39.9	39.5	38.5	39.6	40.7	41.1	41.5	42.8	42.9	43	43.1		
Caribbean small states	CSS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	44.51837932	44.95119429	45.24423562	45.64249455	45.70786699	45.09975563	44.75795633	43.6927143	44.39138075	43.99691696		44.12760086	44.30483947	45.80901153	45.24490542	45.62282244									
Cuba	CUB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						42.3	42	42.3	42.9	43.3	43.3	42.8	42.3	42.8	42.6	42.6	42.7	43.7	43.4	44.8	44.8				
Curacao	CUW	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Cayman Islands	CYM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		50						51.8			51.2		51.8	54.2	52.2	49.5	49.4	49.3	50.5			50.7			
Cyprus	CYP	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						41.3	41.6	42	42.4	43.2	44.4	47.4	48.2	49.3	48.2	47.7	48.1	49.1	48.7	50	50.8	51.4	51.2		
Czech Republic	CZE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	51	48.3	45.7	46	46.4	46.3	46.3	46.2	46.2	46.5	46.5	46.6	46.7	46.8	47.1	46.6	46.4	46.3	46	45.9	46.1	46.1	46.2		
Germany	DEU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		42.7	42.6	42.7	43	43	43.7	44	44.2	44.8	45.1	45.5	45.9	46.4	46.6	46.6	46.9	46.9	46.8	47.5	47.7	47.9	47.9		
Djibouti	DJI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)													26.7												
Dominica	DMA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		39.7						46.8		44		43.8													
Denmark	DNK	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	48	48.2	48.4	48.7	47.7	46.5	47.3	47.6	48.1	48.3	48.5	48.9	49	48.3	48.8	48.7	48.8	49	49.3	49.5	50	49.7	49.7		
Dominican Republic	DOM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		31.5	31.3	31.4	32.6	34	32.3	32.1	34.6	34.6	37.3	38	39.5	38.9	38.2	38.3	39.4	39.2	40.1	39.1	40.6	41.2	41.6		
Algeria	DZA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												13.4		14.2	14.5	14.7	15	16.8	15	15.3	15.1				
East Asia & Pacific (developing only)	EAP	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.03822032	37.46286509	35.70827646	36.96293876	37.58887285	37.80904603	37.99073607	38.29385037	37.74732763	38.71591801															
East Asia & Pacific (all income levels)	EAS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.21249768	37.63833917	36.08181007	37.20919919	37.79131001	37.98564957	38.1797778	38.48760239	37.98286422	38.89306725															
Europe & Central Asia (developing only)	ECA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						41.25734387	41.09136414	41.87000867	42.24569239	42.19919489	42.20588641	43.13968828	42.97349578	43.13455847	43.91249726	43.32547736	43.26993571	43.6468918	43.82688102	43.00008156	43.72389757	42.66713257	42.68380891		
Europe & Central Asia (all income levels)	ECS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			44.14533005	44.17714609	44.07998198	44.74730569	44.89708579	45.08600041	45.20729211	45.50600389	45.68871315	46.00600571	46.1839552	46.47915779	46.80995389	46.70474032	46.84302991	47.01931381	47.16350449	47.36253558	47.58974397	47.50377298	47.58995307		
Ecuador	ECU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	30.9	31.5	33.4	32	32.9	33.3	33.3	33.8	33.3	39	39.3	38.7	38.1		39.2	40.2	38.7					39.2	39.8		
Egypt, Arab Rep.	EGY	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	20.5	18.7	17.8	18.8	18.9	18.9		18.9	20	20.9	19	20.7	22.4	19.9	18.8	17.7	18.1	19	18	18.1	18	18.5	19.1		
Euro area	EMU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	40.29460434	41.1714498	41.79720059	41.97313686	42.26445931	42.42044764	42.99877914	43.26293171	43.37595762	43.85168825	44.18420564	44.56060534	44.93667504	45.34214536	45.75318084	45.94043383	46.22537218	46.48167539	46.66767313	47.46201373	47.78346824	47.98612835	48.28352311		
Eritrea	ERI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							31.1																		
Spain	ESP	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	32.3	33	33.7	34.7	35.5	35.7	36.6	37.2	37.1	38	38.9	39.4	40	40.7	41.5	42.3	43	43.7	44.9	46.4	47.3	47.8	48.7		
Estonia	EST	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	52.3	51.7	51.2	51.4	51.1	50.8	51.3	50.9	51.4	51.6	51.7	51.7	51.5	51.5	52.2	52.6	52.5	52.3	51.8	53.9	54	53	53.2		
Ethiopia	ETH	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										40.9					40.6	43.8	41.3			39.7	41.6	39.5	41.6		
European Union	EUU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	42.77419674	43.05309313	43.33638393	43.73836015	43.9258326	44.18126487	44.5705802	44.66900238	44.75205975	45.2712178	45.48573738	45.80897102	46.08934592	46.34059276	46.6570027	46.69372789	46.87258425	46.95406506	47.12229104	47.69976474	47.94036691	48.03235321	48.22153866		
Fragile and conflict affected situations	FCS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Finland	FIN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	50.6	51.4	52.2	52.1	51.9	51.1	50.6	50.3	49.8	50.3	50.3	50.2	50.7	50.6	50.7	50.9	51	51	50.7	51.5	51.3	51.2	51.5		
Fiji	FJI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	29.9			30.3			31.5	32.6	34	34.9	33.2					29.6									
France	FRA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	44.7	45	45.7	46.4	46.2	46.3	47.2	47.3	47.4	47.4	47.4	47.5	47.9	48.2	48.3	48.6	48.9	49.3	49.2	49.6	49.7	49.7	49.9		
Faeroe Islands	FRO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																45.8									
Micronesia, Fed. Sts.	FSM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Gabon	GAB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				29.3																	34.5				
United Kingdom	GBR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	47.4	48.6	47.2	47.7	47.7	47.6	47.6	47.4	47.1	48.2	48.1	48.5	48.7	48.6	48.9	48.9	48.9	48.8	48.9	49.4	49.3	49.2	49.2		
Georgia	GEO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)									49.4	49.2			49.6	48.9	50.3	48.5	48.5	47.8	46.2	46.7	48.5	47.1	45.7		
Ghana	GHA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											31.7														
Guinea	GIN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																				17.5	17.7	17.5	17.5		
Gambia, The	GMB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)									33.9	31.7															
Guinea-Bissau	GNB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	10.8																								
Equatorial Guinea	GNQ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	10.5																								
Greece	GRC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	35	34.8	35.9	36.3	36.4	37.6	37.7	38.8	38	38.8	39.1	39.6	39.8	40.1	40.9	41	41.6	42	42.2	43	43.4	43.8	44.4		
Grenada	GRD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					40.4		42.6		42.6																
Greenland	GRL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							49.9	49.7	49.7	49.4	48.8	49.6	49.1	49.4	49.5	49.3									
Guatemala	GTM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	36.8	38.4											31.7								30	31	28.9		
Guam	GUM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						43.3	43.8	45.9	45.2	45.3	45.6	45.7	45.8	42.4	43.3	44.5	44.6	44.1	43.3	43.1	42.9	44.7	43.6		
Guyana	GUY	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								38.5					34.7												
High income	HIC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43.28264335	43.55850261	44.92379533	44.8839066	44.89999015	45.01867134	45.21982013	45.26945719	45.31590099	45.57037664	45.70033993	45.89899645	46.14431025	46.53400175	46.63546376	46.63861276	46.64018704	46.7108668	46.77827079	47.35774836	47.6076867	47.53828878	47.64556997		
Hong Kong SAR, China	HKG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.2	41.5	41.6	42	42.2	42.5	42.6	43.3	43.7	44.1	44.8	45.5	45.9	46.8	47.3	47.8	47.9	48.2	48.6	49.6	49.5	49.6	49.6		
Honduras	HND	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.4		40.8				42.6	43.2	42.4	42.4		42	40.9	40.6	42.5	41.5	42.2	41.9							
Heavily indebted poor countries (HIPC)	HPC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Croatia	HRV	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43.2	43.8	44.8	45.7	46.4	46.6	46.7	46.9	47.6	47.7	47	46.7	46.9	46.1	45.7	45.9	46.9	45.5	45.8	47.1	47	46.6	47		
Haiti	HTI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	44.2																								
Hungary	HUN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			49.2	49.4	48.9	48	48	47.5	48.1	48.7	48.6	48.5	48.4	49.1	48.9	48.7	48.3	48	48.4	48.6	49.2	48.8	48.8		
Indonesia	IDN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	29.2	30.1	30.4	30.3	30.1	29	29.6	30	31.3	31.1	31.7	30.7	29.7	29.5	29	30.3	31.3	30.9	32.4	33.5	32.9				
Isle of Man	IMN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
India	IND	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	12.7	13	13.3	13.7	14.1	14.4	14.9	15.5	16	16.3	16.6	16.8	17.3	17.6	17.9	18.1				19.1	19.3				
Not classified	INX	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Ireland	IRL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.7	41.4	42.8	43.4	44	44.4	44.7	45.2	45.7	46.1	46.3	46.5	47.5	47.4	47.5	47.7	47.5	48.2	49.2	51.8	52.1	51.9	51.9		
Iran, Islamic Rep.	IRN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	10.5	10.8	11.2	11.6	12			14.8	15.4	14.1	13.6	11.6	12	12.1	13	16.1				15.3	15.3				
Iraq	IRQ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)															16		15.3		12.1						
Iceland	ISL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		52.6	52.2	52.8	53.6	54	52.7	51.9	52.5	52.6	52.2	52.3	53	52.5	51.8	52.2	50.9	50	49.4	51.3	51.8	51.5	51.3		
Israel	ISR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43	42.9	43.6	44.1	44.8	45.5	46.1	46.6	47.5	48	48.3	48.4	48.7	48.9	48.7	49.3	49	49	49.3	49.8	50	49.5	49.1		
Italy	ITA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	35.9	36	36.4	36	36.4	37	37.7	38	38.5	39.1	39.8	40.6	40.9	41.2	42.7	42.6	42.8	43	43.5	43.9	44.3	44.7	45.3		
Jamaica	JAM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	47.3	47.2	47.5	48.4	48.3	47.3	46.9	46.2	46.6	45.2	45	44.9	46.2	46.3	45.2	45.6	45.8	46.3	48.2						
Jordan	JOR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		11	11.3	11.5	11.7	12	12.2	13.8	14	14.2	14.4	14.1	14.9	13.9		13.7	15.5	15.8	15.7						
Japan	JPN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	38	38.4	38.6	38.7	38.9	38.9	39.2	39.5	39.6	39.7	40	40.4	40.6	40.8	41.2	41.3	41.6	41.6	41.8	42.3	42.6	42.7	42.8		
Kazakhstan	KAZ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												48.5	48.1	48.7	49.4	49.1	49.9	50.1	50	49.8	49.5				
Kenya	KEN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	21.4	22.2	24.2	23	25.5	26.6	29.4	32.2																	
Kyrgyz Republic	KGZ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)													44.5	43.6	42.9	43.3	42.8			43.1	42.5	41.9	42		
Cambodia	KHM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											41.1	43.3			43.5						41.1				
Kiribati	KIR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											36.8					38.5					43.9				
St. Kitts and Nevis	KNA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Korea, Rep.	KOR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	38.1	38	37.8	37.6	38	38	38.5	39.1	38.3	39.3	40.1	40.8	41.1	41.2	41.6	41.8	42	42.1	42.2	42.1	42.4	42.5	42.9		
Kosovo		Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Kuwait	KWT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								23.5	23.2							25.8									
Latin America & Caribbean (developing only)	LAC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	39.37549917			40.16543896		41.03295957	40.33365567	40.49202687					42.83301467	43.36033252	43.05874148	43.32197714	43.39023548	43.38189121		43.77200145		43.6206848	43.68079609		
Lao PDR	LAO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	20.3															32.1									
Lebanon	LBN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)															31.3			32.4							
Liberia	LBR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																					24.1				
Libya	LBY	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												15.8													
St. Lucia	LCA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					51.8	47.4	49.2	48.5	47.6	51.3	49.4		47.8	45.9	47.5										
Latin America & Caribbean (all income levels)	LCN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	39.40509461			40.13815764		40.96283772	40.27303249	40.42616685					42.63619495	43.14457167	42.84268229	43.14280831	43.1897872	43.17967766		43.6246738		43.43940239	43.55281231		
Least developed countries: UN classification	LDC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Low income	LIC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Liechtenstein	LIE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											38.7	38.7	39.1	38.9	39.1	39.4				43.7	43.8	44.4	44.2		
Sri Lanka	LKA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								30.2	31.3	30.2	30.2	30.4	30.9	30	31	31.9	32.2	31	30.8	31	31	30.6	30.4		
Lower middle income	LMC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	17.18980061	19.07302683	19.25384602	19.53115287	19.70035157	21.93354198	24.10647835	24.62275191	25.25007482	25.09952784	25.139523	24.88724672	25.44516152	25.16971964	25.27830096	24.2120709				26.18693423	26.31125472				
Low & middle income	LMY	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	31.69110161	31.38165306	31.24112025	32.28430072	32.00714976	33.60452876	33.78881484	34.24463016	33.60592509	33.86644748															
Lesotho	LSO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								51.6		51															
Lithuania	LTU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	55.4	54.3	53.5	53.4	52.4	52.7	52.4	51.9	52.3	52	53.2	52.7	52.6	53.2	53.3	53	52.9	53		54.3	54.4	53.6	53.7		
Luxembourg	LUX	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)														40.6	41.9	42.4	43.2	43.8	43.3	43.7	44	43.9	44.5		
Latvia	LVA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			51.8		54.1	53.1	53.3	53.8	51.8	52.7	53.1	52.5	53.1	53.3	53.2	53.4	52.8	52	52.7	54.1	54.2	54.5	53.8		
Macao SAR, China	MAC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	42.7	42.8	44	43.6	45	45.3	46.5	46.5	47.4	48.8	48.9	48.8	50.2	49	49.4	49.5	48.1	48.1		50	50.1	50.9	50.2		
St. Martin (French part)	MAF	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Morocco	MAR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					20.9								22.1	23.2	22.9	22.8	21	20.7	20.8	20.6	21.1	21.2	21.5		
Monaco	MCO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											39.2														
Moldova	MDA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										52.9	52.8	52.6	53.6	54.6	54.6	54.9	53.5	54.6	54.1	54.3	55	54.9	54.9		
Madagascar	MDG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				30.8										37.2		37.7					35.4				
Maldives	MDV	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	15.8					32.4					40.6						30				40.5				
Middle East & North Africa (all income levels)	MEA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												18.51344165	20.96815714	19.26060605	18.94940692				20.11918433	18.88020244	19.34923534				
Mexico	MEX	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		36.5		34.9		36.1	36.2	36.3	36.4	36.4	37.3	37.3	37.5	36.9	37.5	39.1	39.3	39.4	39.4	39.7	39.4	39.6	40		
Marshall Islands	MHL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										29.3															
Middle income	MIC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	32.19620063	32.12025248	31.48516554	32.53655351	32.23731135	33.87462478	34.11756215	34.39041943	33.63594293	34.0082462															
Macedonia, FYR	MKD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	38.3	38.2	38.5	38.8	38.5	38.5	38.7	39.5	40.3	41.3	41.6	41.9	42.2	44.1	43.2	42.6	42.6	43	41.9	42.2	42.2	42.4	41.9		
Mali	MLI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								27.3							34.6										
Malta	MLT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					28.4	28.7	29.4	29.8	30.4	31	32.7	31.2	34.3	33.5	33.1	33.8	34.6	35.7	35.9	36.4	37.4	37.5	39.4		
