Series Name,Series Code,Country Name,Country Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,East Asia & Pacific (all income levels),EAS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,East Asia & Pacific (developing only),EAP,..,..,..,..,..,28.49201,..,..,36.77554,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Ecuador,ECU,..,..,..,..,..,18.41632,..,..,14.52804,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Egypt, Arab Rep.",EGY,..,..,..,..,..,0.7079418,..,..,4.23815,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,El Salvador,SLV,..,..,..,..,..,17.33692,..,..,15.21328,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Estonia,EST,..,..,..,..,..,29.48183,..,..,29.47851,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Ethiopia,ETH,..,..,..,..,..,..,..,..,14.97005,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Euro area,EMU,..,..,..,..,..,43.90446,..,..,52.56089,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Europe & Central Asia (all income levels),ECS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Europe & Central Asia (developing only),ECA,..,..,..,..,..,5.645889,..,..,10.44543,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,European Union,EUU,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Fiji,FJI,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Finland,FIN,..,..,..,..,..,54.87928,..,..,55.10457,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,France,FRA,..,..,..,..,..,54.20855,..,..,58.42934,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Gabon,GAB,..,..,..,..,..,12.2348,..,..,19.06478,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Georgia,GEO,..,..,..,..,..,0.522193,..,..,0.8300185,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Germany,DEU,..,..,..,..,..,56.99917,..,..,58.19114,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Ghana,GHA,..,..,..,..,..,17.85322,..,..,18.32603,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Greece,GRC,..,..,..,..,..,17.85476,..,..,13.66843,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Grenada,GRD,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Guam,GUM,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Guatemala,GTM,..,..,..,..,..,14.77576,..,..,17.07647,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Guinea,GIN,..,..,..,..,..,1.991816,..,..,4.232385,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Guyana,GUY,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Haiti,HTI,..,..,..,..,..,19.84645,..,..,9.774681,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,High income,HIC,..,..,..,..,..,42.71258,..,..,48.10398,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,High income: nonOECD,NOC,..,..,..,..,..,17.87319,..,..,20.88063,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,High income: OECD,OEC,..,..,..,..,..,47.21431,..,..,52.87862,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Honduras,HND,..,..,..,..,..,10.97801,..,..,17.57226,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Hong Kong SAR, China",HKG,..,..,..,..,..,45.86651,..,..,52.94703,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Hungary,HUN,..,..,..,..,..,18.13548,..,..,20.8688,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Iceland,ISL,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,India,IND,..,..,..,..,..,15.99068,..,..,18.42743,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Indonesia,IDN,..,..,..,..,..,14.69499,..,..,26.35845,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Iran, Islamic Rep.",IRN,..,..,..,..,..,22.22841,..,..,23.62211,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Iraq,IRQ,..,..,..,..,..,8.15257,..,..,5.234494,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Ireland,IRL,..,..,..,..,..,49.74429,..,..,51.10345,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Israel,ISR,..,..,..,..,..,25.39149,..,..,52.3107,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Italy,ITA,..,..,..,..,..,19.1958,..,..,45.33327,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Jamaica,JAM,..,..,..,..,..,34.56622,..,..,32.48151,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Japan,JPN,..,..,..,..,..,48.7656,..,..,54.56683,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Jordan,JOR,..,..,..,..,..,9.948303,..,..,4.951788,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Kazakhstan,KAZ,..,..,..,..,..,7.212877,..,..,10.18928,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Kenya,KEN,..,..,..,..,..,27.53981,..,..,32.74511,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Korea, Rep.",KOR,..,..,..,..,..,46.12679,..,..,51.11045,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Kosovo,KSV,..,..,..,..,..,5.995169,..,..,10.17424,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Kuwait,KWT,..,..,..,..,..,42.24604,..,..,29.60902,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Kyrgyz Republic,KGZ,..,..,..,..,..,0.7912124,..,..,4.57978,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Lao PDR,LAO,..,..,..,..,..,19.76895,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Latin America & Caribbean (all income levels),LCN,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Latin America & Caribbean (developing only),LAC,..,..,..,..,..,11.47928,..,..,15.71768,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Latvia,LVA,..,..,..,..,..,14.39762,..,..,27.72608,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Lebanon,LBN,..,..,..,..,..,24.79538,..,..,23.47051,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Lesotho,LSO,..,..,..,..,..,8.688717,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Liberia,LBR,..,..,..,..,..,16.80521,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Libya,LBY,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Lithuania,LTU,..,..,..,..,..,19.22868,..,..,28.66142,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Low & middle income,LMY,..,..,..,..,..,19.24696,..,..,24.33236,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Low income,LIC,..,..,..,..,..,13.22203,..,..,11.36915,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Lower middle income,LMC,..,..,..,..,..,13.66039,..,..,17.52898,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Luxembourg,LUX,..,..,..,..,..,55.97817,..,..,58.73017,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Macedonia, FYR",MKD,..,..,..,..,..,8.043807,..,..,17.39011,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Madagascar,MDG,..,..,..,..,..,1.287706,..,..,3.287916,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Malawi,MWI,..,..,..,..,..,7.544513,..,..,8.604293,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Malaysia,MYS,..,..,..,..,..,40.57372,..,..,35.1162,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Maldives,MDV,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Mali,MLI,..,..,..,..,..,5.673241,..,..,4.858615,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Malta,MLT,..,..,..,..,..,50.81247,..,..,49.56534,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Mauritania,MRT,..,..,..,..,..,7.814753,..,..,11.33163,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Mauritius,MUS,..,..,..,..,..,34.80969,..,..,36.86021,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Mexico,MEX,..,..,..,..,..,7.064397,..,..,16.31653,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Middle East & North Africa (all income levels),MEA,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Middle East & North Africa (developing only),MNA,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Middle income,MIC,..,..,..,..,..,19.84895,..,..,25.97733,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Moldova,MDA,..,..,..,..,..,3.589651,..,..,6.485789,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Monaco,MCO,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Mongolia,MNG,..,..,..,..,..,20.81857,..,..,29.74977,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Montenegro,MNE,..,..,..,..,..,3.729639,..,..,5.946432,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Morocco,MAR,..,..,..,..,..,19.20842,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Myanmar,MMR,..,..,..,..,..,..,..,..,15.37525,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Namibia,NAM,..,..,..,..,..,..,..,..,29.04429,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Nepal,NPL,..,..,..,..,..,12.80567,..,..,19.11858,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Netherlands,NLD,..,..,..,..,..,61.84296,..,..,63.03429,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,New Zealand,NZL,..,..,..,..,..,62.98669,..,..,69.86805,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Nicaragua,NIC,..,..,..,..,..,6.190739,..,..,9.794454,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Niger,NER,..,..,..,..,..,1.337137,..,..,2.19343,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Nigeria,NGA,..,..,..,..,..,26.2304,..,..,32.46643,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,North America,NAC,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Norway,NOR,..,..,..,..,..,..,..,..,75.92558,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,OECD members,OED,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Oman,OMN,..,..,..,..,..,27.41232,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Other small states,OSS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Pakistan,PAK,..,..,..,..,..,2.174202,..,..,4.988903,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Palau,PLW,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Panama,PAN,..,..,..,..,..,13.39257,..,..,21.21326,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Paraguay,PRY,..,..,..,..,..,10.18413,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Peru,PER,..,..,..,..,..,9.323834,..,..,15.90407,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Philippines,PHL,..,..,..,..,..,11.21214,..,..,13.62938,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Poland,POL,..,..,..,..,..,20.02022,..,..,22.37618,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Portugal,PRT,..,..,..,..,..,32.5127,..,..,23.57445,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Puerto Rico,PRI,..,..,..,..,..,..,..,..,28.32417,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Qatar,QAT,..,..,..,..,..,28.02771,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Romania,ROM,..,..,..,..,..,8.79517,..,..,16.12095,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Russian Federation,RUS,..,..,..,..,..,10.0227,..,..,14.11121,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Rwanda,RWA,..,..,..,..,..,23.30468,..,..,30.95734,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Samoa,WSM,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,San Marino,SMR,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Saudi Arabia,SAU,..,..,..,..,..,26.59928,..,..,20.07849,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Senegal,SEN,..,..,..,..,..,4.495718,..,..,9.491788,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Serbia,SRB,..,..,..,..,..,2.915264,..,..,9.662326,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sierra Leone,SLE,..,..,..,..,..,18.62616,..,..,13.67713,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Singapore,SGP,..,..,..,..,..,58.09047,..,..,45.71051,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Slovak Republic,SVK,..,..,..,..,..,38.43362,..,..,42.55931,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Slovenia,SVN,..,..,..,..,..,28.48423,..,..,33.69934,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Small states,SST,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Somalia,SOM,..,..,..,..,..,..,..,..,4.323826,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,South Africa,ZAF,..,..,..,..,..,23.67382,..,..,34.44429,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,South Asia,SAS,..,..,..,..,..,14.74833,..,..,16.11524,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..
