country,regionName,nonDiscriminationClauseInConstitution,constitutionGuaranteeEqualityBfTheLaw,unmarriedWomanApplyPassportSameAsMan,marriedWomanApplyPassportSameAsMan,unmarriedWomanApplyNationalIDSameAsMan,marriedWomanApplyNationalIDSameAsMan,unmarriedWomanTravelOutsideCountrySameAsMan,marriedWomanTravelOutsideCountrySameAsMan,unmarriedWomanTravelOutsideHomeSameAsMan,marriedWomanTravelOutsideHomeSameAsMan,unmarriedWomanGetJobSameAsMan,marriedWomanGetJobSameAsMan,unmarriedWomanSignContractSameAsMan,marriedWomanSignContractSameAsMan,unmarriedWomanRegisterBusinessSameAsMan,marriedWomanRegisterBusinessSameAsMan,unmarriedWomanOpenBankAccountSameAsMan,marriedWomanOpenBankAccountSameAsMan,unmarriedWomanChooseWhereLiveSameAsMan,marriedWomanChooseWhereLiveSameAsMan,unmarriedWomanConferCitizenshipToChildrenSameAsMan,marriedWomanConferCitizenshipToChildrenSameAsMan,unmarriedWomanHeadOfFamilySameAsMan,marriedWomanHeadOfFamilySameAsMan,marriedWomanConveyCitizenshipToNonNationalSpouseSameAsMan,marriedCouplesShareLegalResponsibilityForFamilyFinances,femaleEstGNIperCapita_2013,maleEstGNIperCapita_2013,gapGNI
Liberia,Sub-Saharan Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,634,868,234
Madagascar,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,"1,102","1,566",464
Malawi,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,Yes,652,777,125
Mali,Sub-Saharan Africa,Yes,Yes,Yes,Yes,..,..,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,914,"2,076","1,162"
Mauritania,Sub-Saharan Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,"1,362","4,592","3,230"
Mauritius,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"10,980","22,726","11,746"
Morocco,Middle East & North Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"3,215","10,692","7,477"
Mozambique,Sub-Saharan Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,939,"1,086",147
Namibia,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"7,288","11,196","3,908"
Niger,Sub-Saharan Africa,Yes,Yes,Yes,Yes,..,..,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,471,"1,268",797
Nigeria,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,Yes,"4,068","6,594","2,526"
Rwanda,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,"1,263","1,550",287
Senegal,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"1,642","2,717","1,075"
Sierra Leone,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,Yes,"1,617","2,016",399
South Africa,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"8,539","15,233","6,694"
Sudan,Sub-Saharan Africa,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"1,692","5,153","3,461"
Tanzania,Sub-Saharan Africa,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,"1,501","1,903",402
Togo,Sub-Saharan Africa,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,998,"1,263",265
Tunisia,Middle East & North Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"4,751","16,226","11,475"
Uganda,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"1,167","1,502",335
Zambia,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"2,344","3,455","1,111"
Zimbabwe,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"1,124","1,496",372
