	..	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
	Poland	15.6	16.6	..	20.5	19.1	17.3	16.9	17.1	17.6	17.7	17.1	17.3	
	Portugal	..	..	..	..	..	..	..	..	..	..	..	..	
	Puerto Rico	..	..	..	..	..	..	..	..	..	..	..	..	
	Qatar	..	..	..	..	..	..	..	..	..	..	..	..	
	Romania	..	..	..	..	..	24.8	23.4	22.4	21.1	22.2	22.6	22.4	
	Russian Federation	..	24.6	20.3	17.6	17.8	15.2	13.3	13.4	13	12.5	12.7	10.7	
2010	RW	44.9	..	..	..	..	56.7	..	..	..	..	44.9	..	
	Samoa	..	..	..	..	..	..	..	..	..	..	..	..	
	San Marino	..	..	..	..	..	..	..	..	..	..	..	..	
2008	ST	61.7	..	..	..	..	..	..	..	61.7	..	..	..	
	Saudi Arabia	..	..	..	..	..	..	..	..	..	..	..	..	
2010	SN	46.7	..	..	..	48.3	..	..	..	..	..	46.7	..	
	Serbia	..	..	..	..	..	..	..	..	..	..	24.6	..	
2005	SC	37.8	..	..	..	..	37.8	..	..	..	..	..	..	
2010	SL	52.9	..	66.4	..	..	..	..	..	..	..	52.9	..	
	Singapore	..	..	..	..	..	..	..	..	..	..	..	..	
	Sint Maarten (Dutch part)	..	..	..	..	..	..	..	..	..	..	..	..	
	Slovak Republic	..	..	..	13.3	11.6	10.6	10.9	11	12	13	13.2	12.8	
	Slovenia	..	..	..	12.2	11.6	11.5	12.3	11.3	12.7	13.6	13.5	14.5	
	Solomon Islands	..	..	..	..	..	22.7	..	..	..	..	..	..	
	Somalia	..	..	..	..	..	..	..	..	..	..	..	..	
2010	ZA	53.8	..	..	..	..	66.6	..	..	..	..	53.8	..	
2008	SS	50.6	..	..	..	..	..	..	..	50.6	..	..	..	
	Spain	..	..	..	..	..	..	..	..	..	..	..	..	
	Sri Lanka	..	22.7	..	..	..	15.2	..	..	8.9	..	..	..	
	St. Kitts and Nevis	..	..	..	..	..	..	..	..	..	..	..	..	
	St. Lucia	..	..	..	..	..	..	..	..	..	..	..	..	
	St. Martin (French part)	..	..	..	..	..	..	..	..	..	..	..	..	
	St. Vincent and the Grenadines	..	..	..	..	..	..	..	..	..	..	..	..	
2008	SD	46.5	..	..	..	..	..	..	..	46.5	..	..	..	
	Suriname	..	..	..	..	..	..	..	..	..	..	..	..	
2008	SZ	63	..	..	..	..	..	..	..	63	..	..	..	
	Sweden	..	..	..	..	..	..	..	..	..	..	..	..	
	Switzerland	..	..	..	..	..	..	..	..	..	..	..	..	
	Syrian Arab Republic	..	..	..	30.1	..	..	35.2	..	..	..	..	..	
	Tajikistan	..	..	72.4	..	..	..	53.1	..	47.2	..	..	..	
2011	TZ	28.2	..	..	..	..	..	..	..	..	..	..	28.2	
	Thailand	..	32.6	..	26.9	..	23.4	20.9	20.5	19.1	16.9	13.2	12.6	
	Timor-Leste	36.3	..	..	..	..	..	49.9	..	..	..	..	..	
2010	TG	58.7	..	..	..	..	61.7	..	..	..	..	58.7	..	
	Tonga	..	..	..	..	..	..	..	..	..	..	..	..	
	Trinidad and Tobago	..	..	..	..	..	..	..	..	..	..	..	..	
2009	TN	15.5	..	..	..	23.3	..	..	..	..	15.5	..	..	
	Turkey	..	30.3	23.8	20.9	16.4	13.3	8.4	6.8	4.4	3.7	2.8	2.3	
	Turkmenistan	..	..	..	..	..	..	..	..	..	..	..	..	
	Turks and Caicos Islands	..	..	..	..	..	..	..	..	..	..	..	..	
	Tuvalu	..	..	..	..	..	..	..	..	..	..	..	..	
2011	UG	19.5	38.8	..	..	31.1	..	..	..	24.5	..	..	19.5	
	Ukraine	..	..	..	..									
	Uzbekistan	..	..	..	..	..	..	..	..	..	..	17.7	16	..
	Vanuatu	..	..	..	..	..	..	..	..	..	..	..	..	..
	"Venezuela, RB"	46.3	45.4	55.4	62.1	53.9	43.7	36.3	33.6	32.6	31.8	32.5	31.6	25.4
	Vietnam	..	..	..	..	..	..	..	..	..	..	20.7	..	17.2
	Virgin Islands (U.S.)	..	..	..	..	..	..	..	..	..	..	..	..	..
	West Bank and Gaza	..	..	..	35.5	25.6	29.5	30.8	31.2	..	26.2	25.7	25.8	..
	"Yemen, Rep."	..	..	..	..	..	34.8	..	..	..	..	..	..	..
2010	ZM	60.5	..	..	..	..	..	..	..	..	..	60.5	..	..
2011	ZW	72.3	..	..	..	..	..	..	..	..	..	..	72.3	..
