countryName,regionName,Is there a non-discrimination clause in the constitution?,"If there is a non-discrimination clause in the constitution, does it explicitly mention gender?",Does the constitution guarantee equality before the law?,Is customary law recognized as a valid source of law under the constitution?,"If customary law is a valid source of law, is it considered invalid if it violates constitutional provisions on non-discrimination or equality?",Is personal law recognized as a valid source of law under the constitution?,"If personal law is a valid source of law, is it considered invalid if it violates constitutional provisions on non-discrimination or equality?",What are the legal quotas for women on corporate boards?,What are the legal quotas for women in parliament?,What are the legal quotas for women in local government?,Can an unmarried woman apply for a passport in the same way as a man?,Can a married woman apply for a passport in the same way as a man?,Can an unmarried woman apply for a national ID card in the same way as a man?,Can a married woman apply for a national ID card in the same way as a man?,Can an unmarried woman travel outside the country in the same way as a man?,Can a married woman travel outside the country in the same way as a man?,Can an unmarried woman travel outside her home in the same way as a man?,Can a married woman travel outside her home in the same way as a man?,Can an unmarried woman get a job or pursue a trade or profession in the same way as a man?,Can a married woman get a job or pursue a trade or profession in the same way as a man?,Can an unmarried woman sign a contract in the same way as a man?,Can a married woman sign a contract in the same way as a man?,Can an unmarried woman register a business in the same way as a man?,Can a married woman register a business in the same way as a man?,Can an unmarried woman open a bank account in the same way as a man?,Can a married woman open a bank account in the same way as a man?,Can an unmarried woman choose where to live in the same way as a man?,Can a married woman choose where to live in the same way as a man?,Can an unmarried woman confer citizenship to her children in the same way as a man?,Can a married woman confer citizenship to her children in the same way as a man?,"Can an unmarried woman be ""head of household"" or ""head of family"" in the same way as a man?","Can a married woman be ""head of household"" or ""head of family"" in the same way as a man?",Can a married woman convey citizenship to her non-national spouse in the same way as a man?,Are married women required by law to obey their husbands?,Do married couples jointly share legal responsibility for financially maintaining the family's expenses?
Lesotho,Sub-Saharan Africa,Yes,Yes,Yes,Yes,No,No,N/A,N/A,N/A,33%,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes
Liberia,Sub-Saharan Africa,No,N/A,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Madagascar,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
Malawi,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes
Mali,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,No,N/A,N/A,N/A,N/A,Yes,Yes,..,..,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No
Mauritania,Sub-Saharan Africa,No,N/A,Yes,No,N/A,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
Mauritius,Sub-Saharan Africa,Yes,Yes,Yes,Yes,No,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Mozambique,Sub-Saharan Africa,No,N/A,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Namibia,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Niger,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,10%,N/A,Yes,Yes,..,..,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Nigeria,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes
Rwanda,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,30%,30%,30%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
Senegal,Sub-Saharan Africa,Yes,No,Yes,No,N/A,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Sierra Leone,Sub-Saharan Africa,Yes,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes
South Africa,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Sudan,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,Yes,Yes,N/A,N/A,N/A,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
Tanzania,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,No,N/A,N/A,30%,N/A,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,No
Togo,Sub-Saharan Africa,No,N/A,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Uganda,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,29%,33%,Yes,No,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Zambia,Sub-Saharan Africa,Yes,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Zimbabwe,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,22%,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
